Date,County,Total,Serious(Hospitalized),Dead
11.04.2020,Hampden,1545,,94
11.04.2020,Hampshire,204,,5
11.04.2020,Middlesex,4872,,137
11.04.2020,Nantucket,9,,0
11.04.2020,Norfolk,2395,,81
11.04.2020,Plymouth,1809,,50
11.04.2020,Suffolk,4926,,81
11.04.2020,Unknown,225,,5
11.04.2020,Worcester,1822,,42
12.04.2020,Barnstable,501,,16
12.04.2020,Berkshire,350,,22
12.04.2020,Bristol,1327,,43
12.04.2020,Dukes,12,,0
12.04.2020,Essex,3170,,102
12.04.2020,Franklin,143,,25
12.04.2020,Hampden,1647,,104
12.04.2020,Hampshire,219,,6
12.04.2020,Middlesex,5660,,149
12.04.2020,Nantucket,9,,0
12.04.2020,Norfolk,2649,,93
12.04.2020,Plymouth,2024,,54
12.04.2020,Suffolk,5359,,88
12.04.2020,Unknown,373,,5
12.04.2020,Worcester,2032,,49
13.04.2020,Barnstable,502,,17
13.04.2020,Berkshire,355,,22
13.04.2020,Bristol,1394,,46
13.04.2020,Dukes,12,,0
13.04.2020,Essex,3413,,114
13.04.2020,Franklin,148,,25
13.04.2020,Hampden,1694,,115
13.04.2020,Hampshire,224,,6
13.04.2020,Middlesex,5983,,163
13.04.2020,Nantucket,9,,0
13.04.2020,Norfolk,2838,,107
13.04.2020,Plymouth,2141,,65
13.04.2020,Suffolk,5579,,106
13.04.2020,Unknown,447,,7
13.04.2020,Worcester,2128,,51
14.04.2020,Barnstable,514,,17
14.04.2020,Berkshire,360,,23
14.04.2020,Bristol,1435,,53
14.04.2020,Dukes,11,,0
14.04.2020,Essex,3594,,126
14.04.2020,Franklin,155,,25
14.04.2020,Hampden,1798,,134
14.04.2020,Hampshire,233,,6
14.04.2020,Middlesex,6254,,188
14.04.2020,Nantucket,9,,0
14.04.2020,Norfolk,2969,,125
14.04.2020,Plymouth,2207,,76
14.04.2020,Suffolk,5872,,120
14.04.2020,Unknown,506,,7
14.04.2020,Worcester,2246,,57
15.04.2020,Barnstable,530,,18
15.04.2020,Berkshire,370,,23
15.04.2020,Bristol,1508,,56
15.04.2020,Dukes,11,,0
15.04.2020,Essex,3894,,141
15.04.2020,Franklin,160,,25
15.04.2020,Hampden,1885,,153
15.04.2020,Hampshire,239,,6
15.04.2020,Middlesex,6681,,221
15.04.2020,Nantucket,9,,0
15.04.2020,Norfolk,3122,,149
15.04.2020,Plymouth,2308,,88
15.04.2020,Suffolk,6279,,147
15.04.2020,Unknown,572,,7
15.04.2020,Worcester,2350,,74
16.04.2020,Barnstable,550,,18
16.04.2020,Berkshire,382,,26
16.04.2020,Bristol,1605,,63
16.04.2020,Dukes,12,,0
16.04.2020,Essex,4245,,160
16.04.2020,Franklin,170,,25
16.04.2020,Hampden,1985,,163
16.04.2020,Hampshire,248,,6
16.04.2020,Middlesex,7206,,258
16.04.2020,Nantucket,9,,0
16.04.2020,Norfolk,3342,,175
